"accession","water","microbe","replicate","tray","shelf","rack","fruit","flowering","counter"
"43","W","S",3,"26","A","3",64,5,"CF"
"19","D","S",3,"26","A","3",6,17,"CF"
"71","D","L",3,"26","A","3",11,10,"CF"
"60","W","S",3,"27","A","3",16,6,"CF"
"10","W","S",3,"27","A","3",22,21,"CF"
"8","D","S",3,"27","A","3",20,5,"CF"
"15","W","L",3,"27","A","3",5,4,"CF"
"65","W","L",3,"27","A","3",0,NA,"CF"
"61","D","S",3,"27","A","3",7,30,"CF"
"63","D","S",3,"27","A","3",15,16,"CF"
"49","D","L",3,"27","A","3",15,9,"CF"
"44","D","L",3,"27","A","3",10,15,"CF"
"61","W","L",3,"27","A","3",0,NA,"CF"
"55","W","S",3,"27","A","3",35,6,"CF"
"21","W","L",3,"27","A","3",12,11,"CF"
"11","W","L",3,"27","A","3",0,NA,"CF"
"73","D","S",3,"27","A","3",0,NA,"CF"
"67","D","L",3,"27","A","3",30,6,"CF"
"66","D","S",3,"28","A","3",17,8,"CF"
"69","W","S",3,"28","A","3",42,5,"CF"
"30","D","L",3,"28","A","3",14,14,"CF"
"71","W","L",3,"28","A","3",21,4,"CF"
"64","W","L",3,"28","A","3",0,NA,"CF"
"11","D","S",3,"28","A","3",13,19,"CF"
"62","W","S",3,"28","A","3",0,NA,"CF"
"64","D","S",3,"28","A","3",25,8,"CF"
"51","W","L",3,"28","A","3",12,28,"CF"
"52","D","L",3,"28","A","3",22,18,"CF"
"9","D","L",3,"28","A","3",17,17,"CF"
"65","W","S",3,"28","A","3",0,NA,"CF"
"37","D","L",3,"28","A","3",16,4,"CF"
"3","D","L",3,"28","A","3",12,14,"CF"
"32","W","L",3,"28","A","3",12,9,"CF"
"32","D","L",3,"29","B","3",11,5,"CF"
"60","W","L",3,"29","B","3",36,4,"CF"
"21","D","L",3,"29","B","3",24,8,"CF"
"51","D","S",3,"29","B","3",14,17,"CF"
"68","W","L",3,"29","B","3",8,11,"CF"
"3","W","L",3,"29","B","3",15,17,"CF"
"43","D","S",3,"29","B","3",18,4,"CF"
"50","D","L",3,"29","B","3",2,14,"CF"
"1","D","S",3,"29","B","3",17,10,"CF"
"1","W","S",3,"29","B","3",0,NA,"CF"
"37","W","L",3,"29","B","3",25,13,"CF"
"44","W","L",3,"29","B","3",17,8,"CF"
"30","D","S",3,"29","B","3",6,16,"CF"
"42","W","L",3,"29","B","3",19,5,"CF"
"71","D","S",3,"29","B","3",4,14,"CF"
"56","W","L",3,"30","B","3",24,4,"CF"
"33","W","S",3,"30","B","3",26,12,"CF"
"22","W","S",3,"30","B","3",30,6,"CF"
"49","D","S",3,"30","B","3",15,8,"CF"
"22","D","L",3,"30","B","3",27,6,"CF"
"72","D","L",3,"30","B","3",3,26,"CF"
"41","W","L",3,"30","B","3",0,NA,"CF"
"9","W","S",3,"30","B","3",37,9,"CF"
"69","D","L",3,"30","B","3",3,13,"CF"
"15","W","S",3,"30","B","3",19,4,"CF"
"45","W","L",3,"30","B","3",29,4,"CF"
"73","W","S",3,"30","B","3",0,NA,"CF"
"69","W","L",3,"30","B","3",38,6,"CF"
"21","W","S",3,"30","B","3",30,9,"CF"
"52","W","S",3,"30","B","3",20,24,"CF"
"55","D","S",3,"31","B","3",27,8,"CF"
"72","W","S",3,"31","B","3",24,22,"CF"
"12","W","S",3,"31","B","3",40,13,"CF"
"69","D","S",3,"31","B","3",15,11,"CF"
"56","D","S",3,"31","B","3",27,10,"CF"
"61","D","L",3,"31","B","3",0,NA,"CF"
"42","D","L",3,"31","B","3",50,8,"CF"
"1","D","L",3,"31","B","3",29,15,"CF"
"47","D","L",3,"31","B","3",8,15,"CF"
"11","W","S",3,"31","B","3",0,NA,"CF"
"38","W","L",3,"31","B","3",23,14,"CF"
"3","W","S",3,"31","B","3",20,22,"CF"
"3","D","S",3,"31","B","3",21,20,"CF"
"45","D","S",3,"31","B","3",3,17,"CF"
"56","D","L",3,"31","B","3",11,8,"CF"
"45","D","L",3,"32","B","3",18,4,"JV"
"43","W","L",3,"32","B","3",50,4,"JV"
"58","D","L",3,"32","B","3",0,NA,"JV"
"15","D","L",3,"32","B","3",26,5,"JV"
"37","W","S",3,"32","B","3",41,9,"JV"
"68","D","L",3,"32","B","3",8,10,"JV"
"47","D","S",3,"32","B","3",19,9,"JV"
"50","W","S",3,"32","B","3",3,22,"JV"
"44","W","S",3,"32","B","3",13,21,"JV"
"58","D","S",3,"32","B","3",0,NA,"JV"
"11","D","L",3,"32","B","3",18,19,"JV"
"33","D","L",3,"32","B","3",17,8,"JV"
"64","D","L",3,"32","B","3",13,9,"JV"
"63","W","S",3,"32","B","3",16,25,"JV"
"50","W","L",3,"32","B","3",14,11,"JV"
"64","W","S",3,"33","C","3",21,13,"JV"
"41","D","L",3,"33","C","3",0,NA,"JV"
"72","W","L",3,"33","C","3",33,12,"JV"
"73","D","L",3,"33","C","3",0,NA,"JV"
"38","D","L",3,"33","C","3",21,4,"JV"
"8","D","L",3,"33","C","3",11,4,"JV"
"62","D","S",3,"33","C","3",0,NA,"JV"
"12","D","L",3,"33","C","3",20,4,"JV"
"8","W","S",3,"33","C","3",27,8,"JV"
"62","W","L",3,"33","C","3",0,NA,"JV"
"52","W","L",3,"33","C","3",2,35,"JV"
"43","D","L",3,"33","C","3",23,4,"JV"
"30","W","S",3,"33","C","3",5,21,"JV"
"32","W","S",3,"33","C","3",34,6,"JV"
"70","D","L",3,"33","C","3",6,13,"JV"
"47","W","S",3,"34","C","3",47,9,"JV"
"45","W","S",3,"34","C","3",56,4,"JV"
"66","W","L",3,"34","C","3",48,9,"JV"
"49","W","S",3,"34","C","3",8,10,"JV"
"41","W","S",3,"34","C","3",0,NA,"JV"
"51","W","S",3,"34","C","3",0,NA,"JV"
"67","W","L",3,"34","C","3",51,6,"JV"
"38","W","S",3,"34","C","3",22,4,"JV"
"47","W","L",3,"34","C","3",23,14,"JV"
"1","W","L",3,"34","C","3",42,12,"JV"
"70","W","S",3,"34","C","3",28,11,"JV"
"52","D","S",3,"34","C","3",4,26,"JV"
"70","D","S",3,"34","C","3",7,12,"JV"
"41","D","S",3,"34","C","3",6,32,"JV"
"44","D","S",3,"34","C","3",14,10,"JV"
"9","W","L",3,"35","C","3",36,9,"JV"
"67","D","S",3,"35","C","3",29,8,"JV"
"19","W","L",3,"35","C","3",0,NA,"JV"
"19","D","L",3,"35","C","3",0,NA,"JV"
"58","W","L",3,"35","C","3",17,21,"JV"
"63","W","L",3,"35","C","3",32,15,"JV"
"22","W","L",3,"35","C","3",40,9,"JV"
"12","W","L",3,"35","C","3",45,4,"JV"
"62","D","L",3,"35","C","3",0,NA,"JV"
"49","W","L",3,"35","C","3",16,8,"JV"
"15","D","S",3,"35","C","3",20,5,"JV"
"42","D","S",3,"35","C","3",17,6,"JV"
"30","W","L",3,"35","C","3",20,13,"JV"
"73","W","L",3,"35","C","3",0,NA,"JV"
"10","W","L",3,"35","C","3",11,30,"JV"
"60","D","S",3,"36","C","3",21,7,"JV"
"70","W","L",3,"36","C","3",16,7,"JV"
"68","W","S",3,"36","C","3",7,11,"JV"
"54","W","S",3,"36","C","3",48,9,"JV"
"54","W","L",3,"36","C","3",43,8,"JV"
"60","D","L",3,"36","C","3",23,6,"JV"
"66","D","L",3,"36","C","3",29,4,"JV"
"56","W","S",3,"36","C","3",33,4,"JV"
"72","D","S",3,"36","C","3",4,24,"JV"
"12","D","S",3,"36","C","3",9,9,"JV"
"9","D","S",3,"36","C","3",15,15,"JV"
"49","D","L",4,"37","A","4",27,4,"CF"
"9","W","L",4,"37","A","4",26,12,"CF"
"12","D","S",4,"37","A","4",12,9,"CF"
"70","W","L",4,"37","A","4",0,NA,"CF"
"44","W","S",4,"37","A","4",27,15,"CF"
"33","W","L",4,"37","A","4",31,9,"CF"
"50","D","L",4,"37","A","4",18,13,"CF"
"65","D","L",4,"37","A","4",0,NA,"CF"
"66","W","L",4,"37","A","4",14,18,"CF"
"30","W","L",4,"37","A","4",12,28,"CF"
"54","W","L",4,"37","A","4",60,6,"CF"
"60","W","L",4,"37","A","4",32,8,"CF"
"10","W","S",4,"37","A","4",33,25,"CF"
"62","W","L",4,"37","A","4",0,NA,"CF"
"47","W","L",4,"37","A","4",35,8,"CF"
"19","W","L",4,"38","A","4",0,NA,"CF"
"15","D","S",4,"38","A","4",10,8,"CF"
"60","D","S",4,"38","A","4",19,8,"CF"
"47","D","S",4,"38","A","4",27,6,"CF"
"61","W","L",4,"38","A","4",2,36,"CF"
"1","D","S",4,"38","A","4",0,NA,"CF"
